
 .d8888b.                        888                  d88888888888
d88P  Y88b                       888                 d88888  888  
888    888                       888                d88P888  888  
888       888d888888  88888888b. 888888 .d88b.     d88P 888  888  
888       888P"  888  888888 "88b888   d88""88b   d88P  888  888  
888    888888    888  888888  888888   888  888  d88P   888  888  
Y88b  d88P888    Y88b 888888 d88PY88b. Y88..88P d8888888888  888  
 "Y8888P" 888     "Y8888888888P"  "Y888 "Y88P" d88P     8888888888
                      888888                                      
                 Y8b d88P888                                      
                  "Y88P" 888                              by UmeW

             ***** Market Data Saver ******               

2017-12-18 16:55:00 : 0.12739999999999999, low: 0.1273, high: 0.1277, r: 25.0, vol:13
2017-12-18 16:53:00 : 0.01735, low: 0.01735, high: 0.01735, r: 100.0, vol:1
2017-12-18 16:56:00 : 18679.790322580644, low: 18640.5, high: 18723.5, r: 18.06451612903226, vol:1025421
2017-12-18 16:56:00 : 0.1271, low: 0.127, high: 0.1272, r: 0.0, vol:2
2017-12-18 16:56:00 : 18921.637931034482, low: 18883, high: 18955, r: 10.344827586206897, vol:54355
2017-12-18 16:56:00 : 20763.045454545456, low: 20738.5, high: 20805.5, r: 18.181818181818183, vol:12041
2017-12-18 16:54:00 : 0.04005, low: 0.04005, high: 0.04005, r: 0.0, vol:1
2017-12-18 16:56:00 : 0.029405, low: 0.029405, high: 0.029405, r: 100.0, vol:10
2017-12-18 16:53:00 : 0.002058, low: 0.002058, high: 0.002058, r: 0.0, vol:5
2017-12-18 16:54:00 : 0.0578815, low: 0.05788, high: 0.057883, r: 0.0, vol:2
2017-12-18 16:57:00 : 20733.25, low: 20715, high: 20744, r: 41.666666666666664, vol:10700
2017-12-18 16:57:00 : 18656.41935483871, low: 18640, high: 18684, r: 76.88172043010752, vol:812002
2017-12-18 16:57:00 : 0.04021, low: 0.04021, high: 0.04021, r: 100.0, vol:1
2017-12-18 16:57:00 : 0.12684285714285717, low: 0.1265, high: 0.127, r: 42.857142857142854, vol:20
2017-12-18 16:57:00 : 18902.366666666665, low: 18872.5, high: 18936.5, r: 71.11111111111111, vol:188624
2017-12-18 16:58:00 : 18650.54894179894, low: 18608, high: 18681, r: 14.55026455026455, vol:2325493
2017-12-18 16:58:00 : 18915.590909090908, low: 18875, high: 18945.5, r: 18.181818181818183, vol:21177
2017-12-18 16:56:00 : 0.017410000000000002, low: 0.0174, high: 0.01742, r: 100.0, vol:10
2017-12-18 16:58:00 : 0.127075, low: 0.1264, high: 0.1277, r: 75.0, vol:22
2017-12-18 16:58:00 : 20756.8, low: 20715, high: 20763, r: 90.0, vol:12100
2017-12-18 16:57:00 : 0.002061, low: 0.002061, high: 0.002061, r: 0.0, vol:5
2017-12-18 16:59:00 : 18594.975454545456, low: 18569, high: 18616, r: 14.909090909090908, vol:3296951
2017-12-18 16:59:00 : 18858.225, low: 18843, high: 18873, r: 10.0, vol:36200
2017-12-18 16:59:00 : 20715.3, low: 20715, high: 20716, r: 0.0, vol:6600
2017-12-18 16:57:00 : 0.058696, low: 0.058696, high: 0.058696, r: 0.0, vol:1
2017-12-18 16:59:00 : 0.002039, low: 0.002037, high: 0.002041, r: 0.0, vol:141
2017-12-18 16:59:00 : 0.01736, low: 0.01736, high: 0.01736, r: 0.0, vol:1
2017-12-18 16:59:00 : 0.1275, low: 0.1275, high: 0.1275, r: 100.0, vol:4
2017-12-18 17:00:00 : 18829.609375, low: 18807, high: 18848, r: 35.9375, vol:241855
2017-12-18 17:00:00 : 18554.35230024213, low: 18538, high: 18581, r: 26.150121065375302, vol:2797817
2017-12-18 17:00:00 : 20704.766666666666, low: 20682.5, high: 20716, r: 0.0, vol:25825
2017-12-18 17:00:00 : 0.12632727272727273, low: 0.1255, high: 0.1273, r: 27.272727272727273, vol:44
2017-12-18 17:00:00 : 0.017426666666666663, low: 0.01741, high: 0.01744, r: 100.0, vol:21
2017-12-18 17:00:00 : 0.002067666666666667, low: 0.002062, high: 0.002071, r: 100.0, vol:3
2017-12-18 17:01:00 : 18559.134469696968, low: 18532, high: 18583.5, r: 67.04545454545455, vol:2106372
2017-12-18 17:01:00 : 0.1262, low: 0.1262, high: 0.1262, r: 0.0, vol:4
2017-12-18 17:01:00 : 0.00207025, low: 0.002059, high: 0.002077, r: 100.0, vol:15
2017-12-18 17:01:00 : 18826.909090909092, low: 18805.5, high: 18848, r: 21.21212121212121, vol:134530
2017-12-18 17:01:00 : 20656.545454545456, low: 20639.5, high: 20677.5, r: 0.0, vol:14301
2017-12-18 17:02:00 : 18814.92, low: 18803.5, high: 18834.5, r: 52.0, vol:141394
2017-12-18 17:02:00 : 20636.383333333335, low: 20616.5, high: 20666.5, r: 20.0, vol:59000
2017-12-18 17:02:00 : 18569.02923976608, low: 18557, high: 18582, r: 39.76608187134503, vol:686756
2017-12-18 17:01:00 : 0.017423333333333332, low: 0.01739, high: 0.01744, r: 66.66666666666667, vol:24
2017-12-18 16:58:00 : 0.0402, low: 0.04019, high: 0.04021, r: 50.0, vol:6
2017-12-18 17:03:00 : 18831.571428571428, low: 18827.5, high: 18838, r: 71.42857142857143, vol:99110
2017-12-18 17:03:00 : 0.01746, low: 0.01743, high: 0.01748, r: 66.66666666666667, vol:4
2017-12-18 17:03:00 : 18572.298780487807, low: 18560, high: 18584, r: 65.2439024390244, vol:1062531
2017-12-18 17:03:00 : 20648.682926829268, low: 20615, high: 20722.5, r: 60.97560975609756, vol:91489
2017-12-18 17:02:00 : 0.127, low: 0.127, high: 0.127, r: 100.0, vol:1
2017-12-18 17:03:00 : 0.04022, low: 0.04022, high: 0.04022, r: 100.0, vol:7
2017-12-18 17:04:00 : 18592.587360594796, low: 18580, high: 18603, r: 73.23420074349443, vol:1347539
2017-12-18 17:04:00 : 18837.470588235294, low: 18810.5, high: 18848, r: 52.94117647058823, vol:260782
2017-12-18 17:04:00 : 0.04023, low: 0.04023, high: 0.04023, r: 100.0, vol:1
2017-12-18 17:04:00 : 0.12616666666666668, low: 0.126, high: 0.1263, r: 0.0, vol:21
2017-12-18 17:04:00 : 20689.309523809523, low: 20633.5, high: 20724, r: 100.0, vol:33850
2017-12-18 17:00:00 : 0.058893, low: 0.058893, high: 0.058893, r: 100.0, vol:3
2017-12-18 17:05:00 : 18549.288395904437, low: 18532, high: 18583, r: 19.112627986348123, vol:1751302
2017-12-18 17:05:00 : 0.12528181818181816, low: 0.125, high: 0.126, r: 9.090909090909092, vol:54
2017-12-18 17:05:00 : 18809.75, low: 18790, high: 18836.5, r: 50.0, vol:15082
2017-12-18 17:02:00 : 0.002079, low: 0.002079, high: 0.002079, r: 100.0, vol:31
2017-12-18 17:05:00 : 20631.0, low: 20626, high: 20633.5, r: 0.0, vol:1200
2017-12-18 17:05:00 : 0.0403, low: 0.0403, high: 0.0403, r: 0.0, vol:3
2017-12-18 17:06:00 : 18838.26923076923, low: 18803.5, high: 18848, r: 80.76923076923077, vol:195312
2017-12-18 17:06:00 : 18577.434210526317, low: 18545.5, high: 18592, r: 78.50877192982456, vol:727019
2017-12-18 17:06:00 : 0.0403, low: 0.0403, high: 0.0403, r: 100.0, vol:3
2017-12-18 17:04:00 : 0.01743, low: 0.01743, high: 0.01743, r: 0.0, vol:1
2017-12-18 16:57:00 : 0.0295, low: 0.0295, high: 0.0295, r: 100.0, vol:2
2017-12-18 17:06:00 : 0.0020565, low: 0.002042, high: 0.002071, r: 0.0, vol:6
2017-12-18 17:07:00 : 18570.379098360656, low: 18549.5, high: 18591, r: 61.0655737704918, vol:778015
2017-12-18 17:07:00 : 18820.90322580645, low: 18803.5, high: 18840, r: 74.19354838709677, vol:169300
2017-12-18 17:06:00 : 20619.0, low: 20615.5, high: 20621.5, r: 0.0, vol:55402
2017-12-18 17:07:00 : 0.030078, low: 0.030078, high: 0.030078, r: 100.0, vol:5
